Timestamp,Action
2025-03-10 22:56:40,Other
2025-03-10 22:56:41,Other
2025-03-10 22:56:42,Other
2025-03-10 22:56:43,Other
2025-03-10 22:56:44,Teaching
2025-03-10 22:56:45,Teaching
2025-03-10 22:56:46,Teaching
2025-03-10 22:56:47,Teaching
2025-03-10 22:56:48,Teaching
2025-03-10 22:56:49,Teaching
2025-03-10 22:56:50,Teaching
2025-03-10 22:56:51,Teaching
2025-03-10 22:56:52,Teaching
2025-03-10 22:56:53,Teaching
2025-03-10 22:56:54,Teaching
2025-03-10 22:56:55,Other
2025-03-10 22:56:57,Teaching
2025-03-10 22:56:58,Teaching
2025-03-10 22:56:59,Other
2025-03-10 22:57:00,Other
2025-03-10 22:57:01,Other
2025-03-10 22:57:02,Other
2025-03-10 22:57:03,Teaching
2025-03-10 22:57:04,Teaching
2025-03-10 22:57:05,Teaching
2025-03-10 22:57:06,Teaching
2025-03-10 22:57:07,Teaching
2025-03-10 22:57:08,Other
